file,name,kind,priv,line,nlines,used_by,uses
A.matrix-gen,weighted_jensen_rpow,lemma,public,51,11,0,
A.matrix-gen,doubly_stochastic_holder,lemma,public,62,42,1,
A.matrix-gen,HermitianMat.inner_le_trace_rpow_mul,lemma,public,104,25,2,doubly_stochastic_holder
A.matrix-gen,MState.rpow_le_one',lemma,public,129,15,0,
A.matrix-gen,HermitianMat.eigenvalues_le_one_of_le_one,lemma,public,144,30,0,
A.matrix-gen,HermitianMat.trace_rpow_le_trace_of_le_one,lemma,public,174,17,0,
A.matrix-gen,HermitianMat.rpow_neg_mul_rpow_eq_supportProj,lemma,public,259,15,0,
A.matrix-gen,HermitianMat.mul_supportProj_of_ker_le,lemma,public,313,49,1,
A.matrix-gen,HermitianMat.inner_supportProj_of_ker_le,lemma,public,362,5,3,
A.matrix-gen,supportProj_inner_density,lemma,public,367,8,1,HermitianMat.inner_supportProj_of_ker_le
A.matrix-gen,continuousOn_rpow_uniform,lemma,public,1439,23,0,
A.matrix-gen,continuousOn_exponent,lemma,public,1619,4,0,
A.matrix-gen,Complex.continuousOn_cpow_const_Ioi,lemma,public,1623,9,0,
A.matrix-gen,maps_to_Iio_of_Ioi_1,lemma,public,1632,10,0,
A.matrix-gen,frontier_singleton,theorem,public,1642,4,0,
A.matrix-gen,pos_of_MState_le_smul,lemma,private,2300,11,1,
A.matrix-gen,HermitianMat.inner_log_mono_of_posDef_of_le,lemma,private,2311,6,0,
A.matrix-gen,HermitianMat.inner_log_mono_of_psd_of_le,lemma,private,2388,13,0,inner_log_shift_tendsto; posDef_add_eps
A.matrix-gen,HermitianMat.inner_log_sub_le_log_alpha,lemma,private,2401,18,1,HermitianMat.inner_supportProj_of_ker_le; pos_of_MState_le_smul
B1.engine,trace_conj_rpow_eq_inner,lemma,private,191,30,0,
B1.engine,inner_rpow_le_one,lemma,private,221,11,0,HermitianMat.inner_le_trace_rpow_mul
B1.engine,hasDerivAt_trace_rpow_at_one,lemma,private,448,53,4,
B1.engine,trace_conj_eq_inner_rpow,lemma,private,501,23,1,
B1.engine,eigenWeight,def,private,524,3,8,
B1.engine,inner_cfc_eq_sum_eigenWeight,lemma,private,527,19,5,eigenWeight
B1.engine,eigenWeight_nonneg,lemma,private,546,17,3,eigenWeight
B1.engine,eigenWeight_zero_of_eigenvalue_zero,lemma,private,563,20,4,eigenWeight; inner_cfc_eq_sum_eigenWeight
B1.engine,hasDerivAt_inner_rpow_at_zero,lemma,private,583,26,1,eigenWeight; eigenWeight_zero_of_eigenvalue_zero; inner_cfc_eq_sum_eigenWeight
B1.engine,hasDerivAt_trace_conj_at_one,lemma,private,609,27,1,hasDerivAt_inner_rpow_at_zero; trace_conj_eq_inner_rpow
B1.engine,scalar_rpow_cross_term,lemma,private,636,12,0,hasDerivAt_trace_rpow_at_one
B1.engine,hasDerivAt_trace_rpow_sub_trace,lemma,private,648,5,1,hasDerivAt_trace_rpow_at_one
B1.engine,B_of,abbrev,private,653,4,5,
B1.engine,B_of_one,lemma,private,657,4,1,B_of
B1.engine,B_of_nonneg,lemma,private,661,4,1,B_of
B1.engine,cross_term_at_one,lemma,private,670,11,0,B_of; B_of_one
B1.engine,scalar_rpow_cross_term_of_continuous,lemma,private,681,38,0,
B1.engine,scalar_rpow_cross_term_of_continuous_zero,lemma,private,719,61,0,
B1.engine,conj_supportProj_eq_of_ker_le,lemma,private,780,13,1,HermitianMat.mul_supportProj_of_ker_le
B1.engine,rpow_tendsto_supportProj,lemma,private,793,23,1,
B1.engine,conj_rpow_continuousAt_zero,lemma,private,816,20,1,B_of; conj_supportProj_eq_of_ker_le; rpow_tendsto_supportProj
B1.engine,B_of_continuousAt,lemma,private,836,12,1,B_of; conj_rpow_continuousAt_zero
B1.engine,trace_cfc_sub_le,lemma,private,848,9,0,
B1.engine,eigenvalues_bounded_near,lemma,private,857,19,1,
B1.engine,rpow_slope_tendsto_uniformly,lemma,private,876,103,1,
B1.engine,trace_cfc_tendsto_of_tendsto,lemma,private,979,30,1,
B1.engine,cross_term_slope_tendsto_zero,lemma,private,1009,82,1,eigenvalues_bounded_near; rpow_slope_tendsto_uniformly; trace_cfc_tendsto_of_tendsto
B1.engine,hasDerivAt_trace_rpow_sub_trace_variable_base,lemma,private,1091,17,1,cross_term_slope_tendsto_zero; hasDerivAt_trace_rpow_sub_trace
B1.engine,rpow_trace_cross_term_vanishes,lemma,private,1108,18,1,B_of_continuousAt; B_of_nonneg; hasDerivAt_trace_rpow_at_one; hasDerivAt_trace_rpow_sub_trace_variable_base
B1.engine,sandwichedRelRentropy.limit_at_one,theorem,private,1148,15,2,sandwichedRelRentropy.hasDerivAt_trace_at_one
B1.engine,eigenWeight_eq_zero_iff,lemma,private,1943,42,1,eigenWeight
