'Complex.continuousOn_cpow_const_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'FreeStateTheory.IsFree.npow' depends on axioms: [propext, Classical.choice, Quot.sound]
'H_hat_conj_sigma' depends on axioms: [propext, Classical.choice, Quot.sound]
'H_hat_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.eigenvalues_le_one_of_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.inner_kron' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.inner_le_trace_rpow_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.inner_supportProj_of_ker_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.inner_supportProj_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.ker_weighted_sum_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.mul_supportProj_of_ker_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.rpow_neg_mul_rpow_eq_supportProj' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.supportProj_mul_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'HermitianMat.trace_rpow_le_trace_of_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'MState.conjTensorUnitary_M' depends on axioms: [propext, Classical.choice, Quot.sound]
'MState.ker_conjTensorUnitary_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'MState.rpow_le_one'' depends on axioms: [propext, Classical.choice, Quot.sound]
'conjTensorUnitary'_entry' depends on axioms: [propext, Classical.choice, Quot.sound]
'conj_kron_one_entry' depends on axioms: [propext, Classical.choice, Quot.sound]
'continuousOn_exponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'continuousOn_rpow_uniform' depends on axioms: [propext, Classical.choice, Quot.sound]
'doubly_stochastic_holder' depends on axioms: [propext, Classical.choice, Quot.sound]
'f_alpha_at_optimizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'f_alpha_bddAbove' depends on axioms: [propext, Classical.choice, Quot.sound]
'f_alpha_convex_in_sigma' depends on axioms: [propext, Classical.choice, Quot.sound]
